item_id,app_name,recommend,playtime_forever,genres
31280,Poker Night at the Inventory,38,18501,46
55140,MX vs. ATV Reflex,6,20858,8
40800,Super Meat Boy,58,52953,61
47810,Dragon Age: Origins - Ultimate Edition,14,56201,14
300,Day of Defeat: Source,26,198779,28
33930,Arma 2: Operation Arrowhead,76,1831561,78
21090,F.E.A.R.,8,6085,8
34030,Napoleon: Total War™,18,136368,19
24960,Battlefield: Bad Company™ 2,34,158943,38
40100,Supreme Commander 2,17,95739,18
33230,Assassin's Creed 2 Deluxe Edition,29,68857,34
8190,Just Cause 2,152,341368,159
3730,Aliens versus Predator Classic 2000,6,2433,6
24980,Mass Effect 2,14,61431,15
10680,Aliens vs. Predator™,20,36109,22
8850,BioShock® 2,14,15604,16
41700,S.T.A.L.K.E.R.: Call of Pripyat,9,51202,9
550,Left 4 Dead 2,639,4678187,652
41300,Altitude,7,7768,7
8980,Borderlands,35,104619,35
20500,Red Faction Guerrilla Steam Edition,11,12000,13
21690,Resident Evil™ 5/ Biohazard 5®,7,29667,8
6020,STAR WARS™ Jedi Knight - Jedi Academy™,10,16390,10
39800,Nation Red,6,4411,6
25890,Hearts of Iron III,9,150799,12
35140,Batman: Arkham Asylum Game of the Year Edition,26,29993,26
34900,Bad Rats: the Rats' Revenge,81,67676,94
6000,STAR WARS™ Republic Commando™,11,6593,11
35700,Trine Enchanted Edition,6,5777,7
1250,Killing Floor,258,1937997,262
3590,Plants vs. Zombies GOTY Edition,6,21304,6
26800,Braid,6,6557,7
15620,"Warhammer 40,000: Dawn of War II",11,14307,12
10500,Empire: Total War™,32,232019,32
22300,Fallout 3,30,100841,32
22100,Mount & Blade,5,11631,5
500,Left 4 Dead,28,83337,29
10090,Call of Duty: World at War,44,207459,44
17460,Mass Effect,12,31255,12
17390,SPORE™,30,75874,33
11020,TrackMania Nations Forever,11,13324,11
400,Portal,91,50702,91
12900,AudioSurf,34,54096,35
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",8,48169,9
4560,Company of Heroes - Legacy Edition,17,28648,17
420,Half-Life 2: Episode Two,17,10990,17
7940,Call of Duty® 4: Modern Warfare®,14,31334,15
6860,Hitman: Blood Money,14,23854,14
2600,Vampire: The Masquerade - Bloodlines,6,14536,6
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,7,38388,8
6910,Deus Ex: Game of the Year Edition,13,38885,15
3830,Psychonauts,12,38103,12
3900,Sid Meier's Civilization® IV,5,5877,5
4700,Medieval II: Total War™,19,123627,20
240,Counter-Strike: Source,199,3687729,207
280,Half-Life: Source,6,9365,7
320,Half-Life 2: Deathmatch,10,170396,11
220,Half-Life 2,185,306505,193
380,Half-Life 2: Episode One,13,9136,14
1510,Uplink,5,5666,5
20,Team Fortress Classic,10,72492,15
10,Counter-Strike,44,747975,45
13230,Unreal Tournament 2004: Editor's Choice Edition,6,6616,6
80,Counter-Strike: Condition Zero,8,37715,11
